name,description
Абай жолы — Мұхтар Әуезов,"Абайдың өмірі мен ақындық жолы туралы эпопея, XIX ғасыр қазақ даласы, дәстүр мен ағартушылық"
Көшпенділер — Ілияс Есенберлин,"қазақ хандығының тарихы, хандар мен батырлардың тәуелсіздік үшін күресі, тарихи эпопея"
Аққан жұлдыз — Ілияс Есенберлин,"ағартушы Шоқан Уәлихановтың өмірі мен ғылыми ізденістері, тарихи роман"
Қызыл жебе — Шерхан Мұртаза,"Тұрар Рысқұловтың өмірі, ХХ ғасыр басындағы саяси күрес, тарихи тұлға"
"Тар жол, тайғақ кешу — Сәкен Сейфуллин","революция мен азамат соғысы кезіндегі оқиғалар, мемуарлық шығарма"
Менің атым Қожа — Бердібек Соқпақбаев,"ауыл мектебіндегі қылықты бала Қожаның балалық шағы, күлкілі әрі жылы оқиға"
Қан мен тер — Әбдіжәміл Нұрпейісов,"Арал балықшыларының ауыр тұрмысы, революция мен теңіз, халық азабы"
Ботагөз — Сәбит Мұқанов,"революция жылдарындағы қазақ қызының тағдыры мен махаббаты, қоғамдық өзгеріс"
Ұлпан — Ғабит Мүсірепов,дала өміріндегі ақылды әрі қайратты әйел Ұлпанның тағдыры
Абайдың қара сөздері — Абай Құнанбайұлы,"адамгершілік, білім, ар-ождан туралы философиялық ой-толғаныс, ғақлия"
Мұқағали өлеңдері — Мұқағали Мақатаев,"туған жер, өмір, махаббат пен адам жаны туралы лирикалық поэзия"
Боран — Тахауи Ахтанов,қыстағы боранда малын аман сақтауға тырысқан шопанның өмір мен өлім арасындағы күресі
Шырағың сөнбесін — Тахауи Ахтанов,"соғыс жылдарындағы махаббат пен тылдағы адамдар тағдыры, сағыныш"
Ақбілек — Жүсіпбек Аймауытов,"тұтқынға түскен қыз Ақбілектің қасіретті тағдыры, зорлық пен трагедия"
Бақытсыз Жамал — Міржақып Дулатов,"зорлықпен күйеуге берілген қыздың трагедиясы, әйел теңсіздігі"
Ақ боз үй — Смағұл Елубай,"1930 жылдардағы ашаршылық, халықтың көшуі мен қырғыны, қасірет"
Гауһартас — Дулат Исабеков,жас жұбайлардың махаббаты мен өмір қиындықтары туралы лирикалық повесть
Атау кере — Оралхан Бөкей,"тау мен табиғат аясындағы адам, ішкі толғаныс, жалғыздық"
Балуан Шолақ — Сәбит Мұқанов,"атақты балуан әрі әнші Балуан Шолақтың өмірі, өнер мен күш"
Қараш-қараш оқиғасы — Мұхтар Әуезов,"дала өміріндегі әділетсіздік пен кек, шаруа мен бай арасындағы тартыс, повесть"
Қаһар — Ілияс Есенберлин,"Кенесары ханның отаршылдыққа қарсы көтерілісі, XIX ғасыр азаттық күресі, тарихи роман"
Аласапыран — Мұхтар Мағауин,"Ораз-Мұхаммед сұлтанның тағдыры, XVI-XVII ғасыр қазақ хандығы, тарихи роман"
Көксерек — Мұхтар Әуезов,"қасқыр бөлтірігін асыраған бала мен жабайы табиғаттың қатыгездігі, әңгіме"
Қорғансыздың күні — Мұхтар Әуезов,"жетім қыздың қорғансыз қиын тағдыры мен әділетсіздік, әңгіме"
Еңлік-Кебек — Мұхтар Әуезов,"рулық араздық құрбаны болған екі ғашықтың трагедиясы, драма"
Қазақ солдаты — Ғабит Мүсірепов,"Ұлы Отан соғысындағы қазақ жауынгерінің ерлігі мен майдан жолы, роман"
Оянған өлке — Ғабит Мүсірепов,"кен өнеркәсібінің оянуы, жұмысшы халықтың тұрмысы, тарихи роман"
Ақан сері – Ақтоқты — Ғабит Мүсірепов,"ақын Ақан серінің трагедиялық махаббаты, өнер мен қайғы, драма"
Қалың мал — Спандияр Көбеев,"қалың малға сатылған қыздың тағдыры, әйел теңсіздігі, ерте қазақ романы"
Қамар сұлу — Сұлтанмахмұт Торайғыров,"махаббат пен ескі салт-дәстүрдің қасіреті, қыз тағдыры, ерте роман"
Қыз Жібек — халық жыры,"Төлеген мен Қыз Жібектің мөлдір махаббаты мен қайғысы, лиро-эпос"
Қозы Көрпеш – Баян сұлу — халық жыры,"қосыла алмаған екі ғашықтың трагедиясы, лиро-эпостық жыр"
Талтүс — Таласбек Әсемқұлов,"күйші әкесінен өнер үйренген баланың өмірі, музыка мен жад, роман"
Шақан-Шері — Мұхтар Мағауин,"адам мен жыртқыш шерінің тартысы, табиғат, кек пен аңшылық, роман"
Соңғы парыз — Әбдіжәміл Нұрпейісов,"Арал теңізінің тартылуы мен экологиялық апат, адам мен қоғам, роман"
Мағжан өлеңдері — Мағжан Жұмабаев,"азаттық, ұлт тағдыры мен махаббат туралы символистік поэзия"
Абай өлеңдері — Абай Құнанбайұлы,"табиғат, махаббат, білім мен адам мінезі туралы философиялық лирика"
